Number,Group,Name,Instructor,Year,Semester,Method,School,Faculty,Building,Room,Day,Hour
0321-2702,01,סמינר תלמידים בתכנית המצטיינים שנה ב',"פרופ' סוכובסקי חיים
",2017,"ב'
ב'","סמינר
סמינר",מדעים מדויקים,פיזיקה,"קפלון
","319
","ג
ג","10:00-12:00
10:00-12:00"
0321-3005,01,פרויקט,"פרופ' אברמוביץ הלינה
פרופ' בק ברקאי רועי",2017,"ב'
ב'","פרוייקט
פרוייקט",מדעים מדויקים,פיזיקה,"
פיזיקה-שנקר","
105","ה
ה","09:00-12:00
09:00-12:00"
0321-3101,01,קוונטים 2,"פרופ' סבר עמית
",2017,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטו.הנדסה
כיתות דן דוד","020
001","ג
ה","10:00-12:00
10:00-12:00"
0321-3101,02,קוונטים 2,מר בן ישראל רועי בנימין,2017,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ה,08:00-10:00
0321-3101,03,קוונטים 2,מר בן ישראל רועי בנימין,2017,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ב,11:00-13:00
0321-3103,01,מבוא למצב מוצק,"פרופ' דגן יורם
",2017,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטור' דאך
אודיטור' דאך","005
005","ב
ה","10:00-11:00
14:00-16:00"
0321-3103,02,מבוא למצב מוצק,מר כהן ארז,2017,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ה,16:00-17:00
0321-3103,03,מבוא למצב מוצק,מר כהן ארז,2017,א',תרגיל,מדעים מדויקים,פיזיקה,קפלון,118,ב,09:00-10:00
0321-3108,01,מבוא לאסטרופיזיקה  (באנגלית),"פרופ' פוזננסקי דב
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטו. מלמד
כיתות דן דוד","006
002","ג
ה","14:00-16:00
14:00-15:00"
0321-3108,02,מבוא לאסטרופיזיקה  (באנגלית),מר פאירמן יעקב,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,כיתות דן דוד,002,ה,15:00-16:00
0321-3109,01,אלקטרומגנטיות אנליטית,"פרופ' סבטיצקי בנימין
",2017,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטו. מלמד
אודיטו. מלמד","006
006","ב
ה","13:00-14:00
12:00-14:00"
0321-3109,02,אלקטרומגנטיות אנליטית,מר גולן אוהד,2017,א',תרגיל,מדעים מדויקים,פיזיקה,קפלון,118,א,12:00-13:00
0321-3109,03,אלקטרומגנטיות אנליטית,מר גולן אוהד,2017,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,204,ד,08:00-09:00
0321-3113,01,מצב מוצק ב,"פרופ' גולדשטיין משה
",2017,"ב'
ב'","שיעור ותרגיל
שיעור ותרגיל",מדעים מדויקים,פיזיקה,"פיזיקה-שנקר
פיזיקה-שנקר","222
104","ד
ה","12:00-13:00
12:00-14:00"
0321-3118,01,מעבדה בפיזיקה ג-שנתית,"פרופ' אברמוביץ הלינה

פרופ' אברמוביץ הלינה







פרופ' אברמוביץ הלינה

פרופ' אברמוביץ הלינה


",2017,"א'
א'
א'
א'
א'
א'
א'
א'
ב'
ב'
ב'
ב'
ב'
ב'
ב'
ב'","מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה",מדעים מדויקים,פיזיקה,"פיזיקה-שנקר
פיזיקה-שנקר



פיזיקה-שנקר
פיזיקה-שנקר


פיזיקה-שנקר

פיזיקה-שנקר
פיזיקה-שנקר


פיזיקה-שנקר","109
109



109
109


109

109
109


109","א
א
ב
ב
ד
ד
ד
ד
ב
ב
ב
ב
ד
ד
ד
ד","09:00-12:00
13:00-16:00
09:00-12:00
13:00-16:00
09:00-12:00
09:00-12:00
13:00-16:00
13:00-16:00
09:00-12:00
09:00-12:00
13:00-16:00
13:00-16:00
09:00-12:00
09:00-12:00
13:00-16:00
13:00-16:00"
0321-3300,01,פרוייקט מחקר לתלמידי תכנית המצטיינים,"פרופ' ליפשיץ רון
",2017,"א'
ב'","פרוייקט
פרוייקט",מדעים מדויקים,פיזיקה,"
","
","
","
"
0321-3308,01,מעבדה בפיזיקה ג'(סמ' א') לתלמידי תכנית המצטיינים,,2017,א',מעבדה,מדעים מדויקים,פיזיקה,,,,
0321-3309,01,מעבדה בפיזיקה ג'(סמ' ב') לתלמידי תכנית המצטיינים,"פרופ' אברמוביץ הלינה


",2017,"ב'
ב'
ב'
ב'","מעבדה
מעבדה
מעבדה
מעבדה",מדעים מדויקים,פיזיקה,"פיזיקה-שנקר
פיזיקה-שנקר
פיזיקה-שנקר
פיזיקה-שנקר","109
109
109
109","ב
ב
ד
ד","09:00-12:00
13:00-16:00
09:00-12:00
13:00-16:00"
0321-3804,01,מבוא לחלקיקים וגרעין,"פרופ' סופר אבנר
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"אודיטו. מלמד
אודיטו. מלמד","006
006","א
א","09:00-10:00
10:00-12:00"
0321-3804,02,מבוא לחלקיקים וגרעין,מר קורן גיא,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,104,ה,16:00-17:00
0321-3808,01,מעבדה בפיזיקה ג- א',"


",2017,"א'
א'
א'
א'","מעבדה
מעבדה
מעבדה
מעבדה",מדעים מדויקים,פיזיקה,"פיזיקה-שנקר
פיזיקה-שנקר
פיזיקה-שנקר
פיזיקה-שנקר","109
109
109
109","א
א
ד
ד","09:00-12:00
13:00-16:00
09:00-12:00
13:00-16:00"
0321-3809,01,מעבדה בפיזיקה ג- ב',"פרופ' אברמוביץ הלינה






",2017,"ב'
ב'
ב'
ב'
ב'
ב'
ב'
ב'","מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה
מעבדה",מדעים מדויקים,פיזיקה,"
פיזיקה-שנקר
פיזיקה-שנקר

פיזיקה-שנקר

פיזיקה-שנקר
","
109
109

109

109
","ב
ב
ב
ב
ד
ד
ד
ד","09:00-12:00
09:00-12:00
13:00-16:00
13:00-16:00
09:00-12:00
09:00-12:00
13:00-16:00
13:00-16:00"
0321-3811,01,מבוא לכימיה פיזיקלית לפיזיקאים,פרופ' זלצר יורם,2017,ב',שיעור,מדעים מדויקים,פיזיקה,אורנשטיין,110,ד,16:00-19:00
0321-4059,01,סמינר ארצי בחלקיקים,פרופ' זוננשיין יעקב,2017,א',סמינר,מדעים מדויקים,פיזיקה,,,ג,10:00-12:00
0321-4070,01,סמינר תלמידים באסטרופיזיקה,פרופ' לוינסון עמיר,2017,ב',סמינר,מדעים מדויקים,פיזיקה,קפלון,324,ה,13:00-15:00
0321-4110,01,תרמודינמיקה ומכניקה סטטיסטית,"פרופ' קנטור יעקב
",2017,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"פיזיקה-שנקר
פיזיקה-שנקר","204
204","א
ד","09:00-10:00
09:00-11:00"
0321-4110,02,תרמודינמיקה ומכניקה סטטיסטית,מר קרן ניב,2017,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,204,ד,11:00-12:00
0321-4111,01,מכניקה סטטיסטית מחוץ לשיווי משקל,פרופ' קנטור יעקב,2017,ב',שיעור,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ד,09:00-12:00
0321-4115,01,פיזיקה קוונטית מתקדמת,"פרופ' גולדשטיין משה
",2017,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"פיזיקה-שנקר
פיזיקה-שנקר","204
204","ב
ד","09:00-11:00
15:00-16:00"
0321-4115,02,פיזיקה קוונטית מתקדמת,מר ערו מוחמד,2017,א',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,204,ד,16:00-17:00
0321-4117,01,אלקטרומגנטיות מתקדמת,"פרופ' רזניק בני
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"פיזיקה-שנקר
פיזיקה-שנקר","222
222","ג
ה","18:00-19:00
09:00-11:00"
0321-4117,02,אלקטרומגנטיות מתקדמת,מר ערו מוחמד,2017,ב',תרגיל,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ג,19:00-20:00
0321-4157,01,סמינר מחקרי בחומר מעובה,פרופ' פלבסקי אלכסנדר,2017,א',סמינר,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ה,13:00-15:00
0321-4178,01,סמינר מחקרי  תלמידים בחומר מעובה,פרופ' סלע ערן,2017,ב',סמינר,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,ה,13:00-15:00
0321-4201,01,תורת השדות 1,"פרופ' זוננשיין יעקב
",2017,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"פיזיקה-שנקר
קפלון","204
118","ד
ה","17:00-19:00
15:00-17:00"
0321-4203,01,סמינר בגרעין,פרופ' פיסצקי אליעזר,2017,א',סמינר,מדעים מדויקים,פיזיקה,קפלון,324,ד,14:00-16:00
0321-4215,01,תורת השדות 2,"פרופ' זוננשיין יעקב
",2017,"ב'
ב'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"פיזיקה-שנקר
פיזיקה-שנקר","105
104","ד
ה","14:00-16:00
15:00-16:00"
0321-4218,01,סמינר ארצי בחלקיקים,פרופ' זוננשיין יעקב,2017,ב',סמינר,מדעים מדויקים,פיזיקה,,,ג,10:00-12:00
0321-4227,01,סמינר בגרעין,פרופ' פומרנץ ישי,2017,ב',סמינר,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,105,ב,14:00-16:00
0321-4231,01,סמינר מחקרי תלמידים בחלקיקים,פרופ' יצחקי ניסן,2017,א',סמינר,מדעים מדויקים,פיזיקה,אודיטו. מלמד,006,ה,10:00-12:00
0321-4234,01,סמינר  מחקרי תלמידים בחלקיקים,פרופ' יצחקי ניסן,2017,ב',סמינר,מדעים מדויקים,פיזיקה,אודיטו. מלמד,006,ה,10:00-12:00
0321-4318,01,אסטרופיזיקה כוכבית,פרופ' לוינסון עמיר,2017,ב',שיעור,מדעים מדויקים,פיזיקה,פיזיקה-שנקר,222,א,09:00-12:00
0321-4320,01,שיטות תצפיתיות,פרופ' בק-סבטיצקי שרה חיה,2017,א',שיעור,מדעים מדויקים,פיזיקה,אורנשטיין,111,ב,14:00-17:00
0321-4330,01,סמינר  מחקרי באסטרופיזיקה,פרופ' לוינסון עמיר,2017,א',סמינר,מדעים מדויקים,פיזיקה,קפלון,324,ה,12:00-14:00
0321-4340,01,קוסמולוגיה,,2017,ב',שיעור,מדעים מדויקים,פיזיקה,,,,
0321-4405,01,סמינר בחומר מעובה,פרופ' איזנברג אליהו,2017,א',סמינר,מדעים מדויקים,פיזיקה,קפלון,118,ב,11:00-13:00
0321-4406,01,סמינר בחומר מעובה,פרופ' איזנברג אליהו,2017,ב',סמינר,מדעים מדויקים,פיזיקה,קפלון,118,ב,11:00-13:00
0321-4409,01,תורת החומר המעובה 1-באנגלית,"פרופ' סלע ערן
",2017,"א'
א'","שיעור
שיעור",מדעים מדויקים,פיזיקה,"פיזיקה-שנקר
פיזיקה-שנקר","105
105","ג
ה","09:00-11:00
09:00-11:00"
